InstanceId,InstanceName,InstanceType,InstanceState,Region
i-01bd206165e4856be,ec2-use1-ap-pe-discovery-utility-ubx2-ingestion-handler-u,t3.small,running,us-east-1
i-0cc7a411ef4d7bae4,ec2-use1-ap-pe-products-client-europa-website-utility-d,t3.small,running,us-east-1
i-0ba91090af7ccd957,ec2-use1-ap-pe-products-client-europa-website-sftp-d,t3.small,running,us-east-1
i-0d13a2aa3940a4ff1,ec2-use1-ap-pe-products-client-europa-website-sftp-u,t3.small,running,us-east-1
i-0b356a0893973ff33,ec2-use1-ap-pe-newrelic-testing-d,t3.small,running,us-east-1
i-01bd08d75e546f7c7,customer-salesforce-sync-server-dev,t2.medium,running,us-east-1
i-03dc258b0e76039ec,ec2-use1-ap-pe-proxy-web-service-ubx2-proxy-p,m5a.large,running,us-east-1
i-010742a222a535b00,eb-use1-ap-pe-notif-srv-ubx2-api-p,m5a.large,running,us-east-1
i-0e4d9c62ecfec4bc0,knowledge-ai-data-producer-dev,t2.medium,running,us-east-1
i-018d54c717600c06b,df-analytics-collector-prod,t3.medium,running,us-east-1
i-09d355b4f83046469,ec2-use1-ap-pe-discovery-utility-ubx2-ingestion-handler-uat,t3.small,stopped,us-east-1
i-0b6c38b513ef8f0dc,ec2-use1-ap-pe-proxy-accounts-service-ubx2-proxy-u,t3.medium,running,us-east-1
i-0ea2ae25fc57e05dd,BMIA - POC,t2.micro,running,us-east-1
i-0415a8740a4673b71,ec2-use1-appe-df-orders-ecommerce-payment-web-p,t3.small,running,us-east-1
i-0f67fe8add25fede4,,t3.medium,running,us-east-1
i-0942d66260760a39d,,t3.medium,running,us-east-1
i-0958b70ab568f36c3,ec2-use1-ap-pe-apigateway-d,t3.small,running,us-east-1
i-0c37261d0522c4ee8,ec2-use1-ap-pe-df-ecom-paym-workers-dev,t3.small,running,us-east-1
i-0d13ddc3c8ad20f7b,,t3.medium,running,us-east-1
i-0471fd1307fa74f84,ec2-use1-ap-pe-df-ecom-paym-workers-prod,t3.small,running,us-east-1
i-0231af18d623363ee,ec2-use1-ap-pe-apigateway-u,m5a.large,stopped,us-east-1
i-05df139222ba3fbe6,customer-identity-sync-server-dev,t2.medium,running,us-east-1
